annual_return,annual_volatility,sharpe_ratio
0.20722159938788404,0.24447728151132617,0.7658036698972801
0.1303614478655346,0.17682994726972992,0.6241106190977556
0.11033938308805279,0.1287918123714846,0.7014373151880154
0.142461902134965,0.1350493361328193,0.9067938106302521
0.11510913771187538,0.14471844092518132,0.6572012322952422
0.19059473707551747,0.22880567902997573,0.7455878621490332
0.10220996887282734,0.13822177747963235,0.5947685695543987
0.16033504409035051,0.20612866644226868,0.6808128462309474
0.10336162577885787,0.1539617006958631,0.5414439136622097
0.10712756268551253,0.1512471600272623,0.5760608177357366
0.10733724225144871,0.12551409477182565,0.6958361322704089
0.14903159263171412,0.21422021074105582,0.6023315549235659
0.09966134650915082,0.11957343131770076,0.6662127667599879
0.21518418882673812,0.25534910666290306,0.7643817179451067
0.13334798350327906,0.24624715039594686,0.46030170631832307
0.16721405363184563,0.18721320342282027,0.7863443974053651
0.11910459368636218,0.1682741446011081,0.5889472439232329
0.1094907659115331,0.162483357207651,0.550768813800206
0.07640678605470903,0.16127883065947238,0.3497469929814133
0.0925357212618521,0.11499352490862698,0.630780918486397
0.26848776969591764,0.34126898924916205,0.7281287709223869
0.1774723352988138,0.19277896563430286,0.8168543429034426
0.1784345577321496,0.17187036315766543,0.9218259321812774
0.12708461582858332,0.15127353336417967,0.7078873180729186
0.17572411507191896,0.20204852759440758,0.7707263048435558
0.16885147962132618,0.19091365397766644,0.7796795908517848
0.14853010507061692,0.2037375789002758,0.630861060411094
0.22576610940106967,0.29665908266587715,0.6936113587084104
0.18395589057666936,0.21660827772905084,0.7569234763121895
0.11954551721686464,0.16192766499325895,0.6147529961665829
0.10625666997482185,0.1566214390428773,0.5507334787749453
0.14599922236965104,0.18392545112111972,0.6850559376183195
0.1605379871494665,0.16928373040800845,0.8301919316802694
0.16216954036017142,0.18995896423060488,0.7484223813074785
0.15232097923660004,0.15820877177216164,0.8363694234802422
0.17272425273805514,0.21088104532643998,0.724219915078858
0.11976716397601163,0.15700991376216802,0.6354195196052059
0.14620154237659339,0.16785891772971429,0.751831026218116
0.12259544486895828,0.13995337548353662,0.733068741746976
0.17796038689776228,0.2003888319303727,0.7882694129014503
